Div,Team,SumHS,SumAS,SumHST,SumAST,CountHG,CountAG
F1,Monaco,59,82,29,40,6,6
F1,Lyon,94,85,42,33,6,6
F1,Troyes,87,71,26,34,6,6
F1,Rennes,93,98,40,36,6,6
F1,Toulouse,93,61,41,18,7,6
F1,Nice,84,52,26,16,6,6
F1,AC Ajaccio,68,60,14,19,6,6
F1,Strasbourg,61,67,20,26,6,6
F1,Auxerre,65,54,20,16,6,6
F1,Montpellier,74,59,28,21,7,5
F1,Lorient,63,87,27,31,5,7
F1,Lille,92,86,40,30,6,6
F1,PSG,86,110,31,58,5,7
F1,Angers,81,55,34,17,7,5
F1,Brest,54,69,15,31,5,7
F1,Clermont,64,60,18,21,6,6
F1,Nantes,65,73,20,23,5,7
F1,Reims,86,61,31,22,6,6
F1,Lens,112,76,41,23,7,6
F1,Marseille,105,66,34,27,7,5
E0,Brentford,67,62,30,21,6,6
E0,Manchester Utd,82,72,27,30,5,6
E0,Nottingham,68,50,23,11,6,6
E0,Chelsea,57,74,18,25,5,6
E0,Everton,68,53,25,18,6,6
E0,Leicester,66,62,21,27,6,6
E0,Fulham,78,63,28,23,6,6
E0,Bournemouth,50,41,14,18,6,6
E0,Newcastle,110,71,39,26,6,6
E0,Tottenham,106,64,45,23,6,6
E0,Liverpool,116,74,38,27,6,5
E0,Aston Villa,72,75,29,25,6,6
E0,Crystal Palace,74,45,27,17,6,5
E0,Leeds,74,64,25,19,6,5
E0,Manchester City,107,80,43,29,6,5
E0,Brighton,82,68,33,25,5,6
E0,Southampton,82,51,33,10,6,6
E0,Wolves,60,85,15,23,6,6
E0,Arsenal,96,74,40,25,5,6
E0,Brentford,67,62,30,21,6,6
E0,West Ham,88,79,25,21,6,6
I1,Inter,84,92,26,35,5,6
I1,Hellas Vérone,63,68,21,15,5,6
I1,Empoli,58,68,16,24,5,6
I1,Torino,70,75,17,27,5,6
I1,Bologne,78,57,22,13,6,5
I1,Udinese,80,74,22,22,6,5
I1,Naples,114,99,36,36,5,6
I1,AS Rome,88,65,30,22,5,6
I1,Cremonese,77,82,14,23,5,6
I1,Sampdoria,52,56,11,24,6,5
I1,Atalanta,70,50,22,22,6,5
I1,Lazio,64,56,30,25,6,5
I1,Fiorentina,103,70,37,16,6,5
I1,Juventus,103,48,30,18,6,5
I1,Monza,60,64,20,19,5,6
I1,Sassuolo,71,78,25,30,6,5
I1,AC Milan,109,78,32,25,6,5
I1,Salernitana,76,62,24,19,6,5
I1,Lecce,44,54,15,17,5,6
I1,Spezia,52,58,18,6,5,6
D1,B. Monchengladbach,84,61,36,34,6,6
D1,Augsburg,62,63,18,20,6,6
D1,Schalke 04,88,42,28,11,6,6
D1,Stuttgart,82,73,22,28,6,6
D1,Union Berlin,67,73,24,31,5,7
D1,Wolfsburg,74,57,23,22,5,7
D1,Dortmund,85,102,35,40,6,6
D1,Mayence,80,77,23,32,6,6
D1,FC Cologne,83,66,38,18,6,6
D1,RB Leipzig,86,92,38,28,6,6
D1,Bochum,74,66,27,22,6,6
D1,Eintracht Francfort,77,75,29,30,6,6
D1,Fribourg,123,63,52,21,6,6
D1,Werder Brême,80,77,35,30,7,6
D1,Hertha Berlin,87,70,29,22,7,6
D1,Bayer Leverkusen,97,48,38,25,6,6
D1,Hoffenheim,126,53,46,19,7,5
D1,Bayern Munich,150,119,73,48,6,6
SP1,Valence,112,67,33,21,7,5
SP1,Cadix CF,62,35,16,5,7,5
SP1,Majorque,62,62,26,24,6,7
SP1,Valladolid,74,64,30,22,6,6
SP1,Osasuna,81,70,25,15,6,6
SP1,Celta Vigo,70,78,22,25,6,6
SP1,Barcelone,133,78,50,30,7,5
SP1,FC Séville,69,72,17,24,5,7
SP1,Villarreal,58,89,31,32,4,8
SP1,Elche,63,34,20,15,6,6
SP1,Betis,88,41,28,15,7,5
SP1,Espanyol,100,54,27,19,7,6
SP1,Almeria,62,68,29,22,6,6
SP1,Ath. Bilbao,96,96,24,35,6,6
SP1,Real Sociedad,67,85,28,36,5,7
SP1,Atl. Madrid,60,85,25,36,5,7
SP1,Gérone,94,48,32,17,7,5
SP1,Getafe,68,34,19,15,7,5
SP1,Vallecano,103,54,26,18,6,6
SP1,Real Madrid,92,118,25,48,5,7
